Source_Name,Sub_Class,Predicted_Macro_Class,Confidence,Prob_AGN,Prob_Binary,Prob_Galactic,Prob_Galaxy,Prob_Pulsar,Final_Class
4FGL J0916.4+1204,unass,AGN,0.915,0.915,0.025,0.015,0.045,0.0,predicted_bll
4FGL J1507.1-1901,unass,AGN,0.915,0.915,0.005,0.055,0.0,0.025,predicted_bcu
4FGL J0025.5-5936,unass,AGN,0.915,0.915,0.06,0.01,0.005,0.01,predicted_fsrq
4FGL J0018.8+5112,unass,AGN,0.915,0.915,0.015,0.045,0.0,0.025,predicted_bcu
4FGL J0450.7+0715,unass,AGN,0.915,0.915,0.055,0.02,0.01,0.0,predicted_bll
4FGL J2105.9+7508,unass,AGN,0.915,0.915,0.04,0.015,0.02,0.01,predicted_bll
4FGL J1536.0-2729,unass,AGN,0.915,0.915,0.005,0.07,0.005,0.005,predicted_bll
4FGL J0800.9+0733,unass,AGN,0.915,0.915,0.0,0.02,0.01,0.055,predicted_bll
4FGL J2147.1-0334,unass,AGN,0.915,0.915,0.015,0.045,0.0,0.025,predicted_bll
4FGL J1408.0+3834,unass,AGN,0.915,0.915,0.0,0.03,0.02,0.035,predicted_bll
4FGL J2335.4-2345,unass,AGN,0.915,0.915,0.005,0.035,0.035,0.01,predicted_bcu
4FGL J1419.5+2527,unass,AGN,0.915,0.915,0.065,0.0,0.02,0.0,predicted_bcu
4FGL J0246.0-4838,unass,AGN,0.915,0.915,0.005,0.03,0.0,0.05,predicted_bcu
4FGL J0128.8-4626,unass,AGN,0.915,0.915,0.005,0.03,0.035,0.015,predicted_bcu
4FGL J1011.1-4420,unk,AGN,0.915,0.915,0.02,0.045,0.015,0.005,predicted_bll
4FGL J0947.8-4234,unass,AGN,0.915,0.915,0.02,0.025,0.005,0.035,predicted_bcu
4FGL J0207.2-1832,unass,AGN,0.915,0.915,0.025,0.04,0.0,0.02,predicted_bcu
4FGL J1444.5+1922,unass,AGN,0.9108,0.9108,0.0,0.02,0.0692,0.0,predicted_bll
4FGL J2041.1-6138,unass,AGN,0.9105,0.9105,0.0,0.05,0.0295,0.01,predicted_bll
4FGL J1727.1+5955,unass,AGN,0.9102,0.9102,0.0,0.04,0.0348,0.015,predicted_bll
4FGL J0009.1-5012,unass,AGN,0.91,0.91,0.015,0.04,0.0,0.035,predicted_fsrq
4FGL J2036.4-0607,unass,AGN,0.91,0.91,0.01,0.045,0.015,0.02,predicted_bll
4FGL J0558.7-4957,unass,AGN,0.91,0.91,0.03,0.025,0.005,0.03,predicted_fsrq
4FGL J0045.8-1324,unass,AGN,0.91,0.91,0.015,0.07,0.005,0.0,predicted_bcu
4FGL J2133.1-6432,unass,Pulsar,0.91,0.01,0.03,0.05,0.0,0.91,predicted_msp
4FGL J1059.4+2148,unass,AGN,0.91,0.91,0.0,0.035,0.005,0.05,predicted_bcu
