Source_Name,Micro_Class,Micro_Conf,Final_Class
4FGL J0304.5+3349,fsrq,0.96,predicted_fsrq
4FGL J0304.5+6821,fsrq,0.9648995983935742,predicted_fsrq
4FGL J0308.1-2852,bll,0.9320260077816048,predicted_bll
4FGL J0310.8-1041,bll,0.9335355675859622,predicted_bll
4FGL J0310.9-3458,bll,0.9175367647058824,predicted_bll
4FGL J0311.2+6856,bll,0.8141353021793459,predicted_bll
4FGL J0311.5-4402,bll,0.7008355315911285,predicted_bll
4FGL J0311.6+4134,bll,0.7744117647058824,predicted_bll
4FGL J0312.4-3221,bll,0.8335418590476431,predicted_bll
4FGL J0313.0+0229,fsrq,0.9939254199898184,predicted_fsrq
4FGL J0315.4-2643,bll,0.979971098265896,predicted_bll
4FGL J0315.5+4231,bll,0.9106353966452848,predicted_bll
4FGL J0316.0-5626,bll,0.8724253133371601,predicted_bll
4FGL J0316.9-0625,bll,0.969971098265896,predicted_bll
4FGL J0317.9+2010,bll,0.8788461538461538,predicted_bll
4FGL J0319.4-7045,bll,0.984971098265896,predicted_bll
4FGL J0319.9-3821,fsrq,0.76453125,predicted_fsrq
4FGL J0320.6+1125,bll,0.9241262210012212,predicted_bll
4FGL J0321.3+0425,fsrq,0.8195,predicted_fsrq
4FGL J0322.4+6606,fsrq,0.9748995983935742,predicted_fsrq
4FGL J0322.9+0940,bll,0.853420223180551,predicted_bll
4FGL J0324.3-1313,fsrq,0.8432792207792208,predicted_fsrq
4FGL J0324.8-2043,bll,0.89,predicted_bll
4FGL J0325.2+4705,fsrq,0.9999386503067484,predicted_fsrq
4FGL J0325.9-1843,bll,0.51125,remains_bcu
4FGL J0326.7-3404,bll,0.8517948717948717,predicted_bll
4FGL J0327.0-3751,bll,0.565,remains_bcu
4FGL J0327.5-1805,fsrq,0.9399596774193548,predicted_fsrq
4FGL J0328.9+3514,fsrq,0.945,predicted_fsrq
4FGL J0330.6+4659,fsrq,0.9886912650602409,predicted_fsrq
4FGL J0330.6+0438,fsrq,0.6057269454444753,remains_bcu
4FGL J0330.7-2408,bll,0.9695596304380552,predicted_bll
4FGL J0331.1-5243,fsrq,0.51,remains_bcu
4FGL J0332.2-1737,fsrq,0.915,predicted_fsrq
4FGL J0332.8+1557,bll,0.655,remains_bcu
4FGL J0333.1+8227,bll,0.9842105263157894,predicted_bll
4FGL J0333.3+0233,bll,0.769,predicted_bll
4FGL J0333.8+4007,bll,0.9648475609756098,predicted_bll
4FGL J0335.8+2733,bll,0.8782339988841065,predicted_bll
4FGL J0338.7-5319,bll,0.9398186592415056,predicted_bll
4FGL J0338.9-2848,bll,0.985,predicted_bll
4FGL J0340.5-0256,bll,0.7681891600861449,predicted_bll
4FGL J0342.8-3007,bll,0.7818033751962322,predicted_bll
4FGL J0344.2+3203c,fsrq,0.8,predicted_fsrq
4FGL J0344.4+3432,bll,0.98,predicted_bll
4FGL J0345.5-3301,bll,0.7593283582089552,predicted_bll
4FGL J0347.6-0133,bll,0.993971098265896,predicted_bll
4FGL J0347.7-3616,bll,0.65,remains_bcu
4FGL J0348.2+6035,bll,0.97,predicted_bll
4FGL J0348.8-0828,bll,0.5639880952380952,remains_bcu
4FGL J0348.8+4610,fsrq,0.9242329317269076,predicted_fsrq
4FGL J0348.9-4859,fsrq,0.635,remains_bcu
4FGL J0349.6+2410,fsrq,0.9899386503067484,predicted_fsrq
4FGL J0350.0+0640,bll,0.84,predicted_bll
4FGL J0350.4-5144,bll,0.9936937148217636,predicted_bll
4FGL J0350.6-3226,fsrq,0.8448181818181818,predicted_fsrq
